composite,components,mean_component_checkpoint,max_component_checkpoint,observed_checkpoint,mean_fv_similarity_to_components,geometry_cost,global_instability,predicted_checkpoint,signed_error,absolute_error,status,forecast_confidence
compositional:copy_then_uppercase,simple:copying + simple:uppercase,4000.0,5000.0,100000.0,0.72,0.14,0.15,12350.0,-87650.0,87650.0,underpredicted,0.09027850000000004
compositional:first_letter_then_uppercase,simple:first_letter + simple:uppercase,12500.0,20000.0,100000.0,0.72,0.14,0.15,28650.0,-71350.0,71350.0,underpredicted,0.20943149999999996
