model,rank_stability_to_final,mean_final_score,within_model_forecast_mae
OLMo-like,1.0,0.9896874997101897,0.0
LLM360-like,1.0,0.9817944764043457,0.0
OLMo2-like,0.9999999999999999,0.9827885891821452,0.0
