,LLM360-like,OLMo-like,OLMo2-like
LLM360-like,1.0,1.0,0.9851843661437779
OLMo-like,1.0,1.0,0.9851843661437779
OLMo2-like,0.985184366143778,0.985184366143778,0.9999999999999999
