task,simple:copying,simple:uppercase,simple:first_letter,math:arithmetic,compositional:copy_then_uppercase,compositional:first_letter_then_uppercase
simple:copying,0.9999999999980003,0.10484378335419853,0.049154823059770134,0.16180721917041424,0.6500624082671423,0.07846521667933012
simple:uppercase,0.10484378335419853,0.9999999999979999,-0.2568882857068659,0.038990777609332145,0.7583746947251286,0.6282723564229992
simple:first_letter,0.049154823059770134,-0.2568882857068659,0.9999999999979998,-0.17755736694357693,-0.12803297306461955,0.5457370121565472
math:arithmetic,0.16180721917041424,0.038990777609332145,-0.17755736694357693,0.9999999999980003,0.1716513835282905,-0.11503739751726043
compositional:copy_then_uppercase,0.6500624082671423,0.7583746947251286,-0.12803297306461955,0.1716513835282905,0.9999999999979999,0.5318296660084932
compositional:first_letter_then_uppercase,0.07846521667933012,0.6282723564229992,0.5457370121565472,-0.11503739751726043,0.5318296660084932,0.9999999999979998
